tmc_name,tmc_article,web_code,tmc_price
Cisco IP Phone 8861 with Multiplatform Phone firmware,CP-8861-3PCC-K9=,262 457,"188 866,96"
"Системный блок Neo Game (Ci5-8400 2,8GHz/8GB/1TB/GTX1050Ti 4GB/DVD-RW/Smart)",87706LC,140 796,"213 975,00"
PWR-C6-125WAC/2 Блок питания 125W AC Config 6 Power Supply-Secondary Power Supply,PWR-C6-125WAC/2,266 213,"222 931,07"
Системный блок Neo Multimedia (Ci7-7700 3.60 GHz/8GB/2TB/GT1030 2GB/DVD-RW/QS-183),85019LC,69 264,"235 896,43"
SFP-10G-SR=Трансивер сетевой Cisco 10GBASESR SFP Module,SFP-10G-SR,216 208,"247 946,43"
"Системный блок Neo Game (Ci7-7700 3,6Ghz/8GB/2TB/120GB/GTX1050Ti 4GB/DVD-RW/TES)",86110LC,108 634,"282 874,24"
Принтер струйный Epson L-1300 СНПЧ A3 (C11CD81402),C11CD81402,37 769,"303 728,69"
WS-C2960+48TC-S Коммутатор Catalyst 2960 Plus 48 10/100 + 2 T/SFP LAN Lite,WS-C2960+48TC-S,58 880,"307 166,96"
Счетчик посетителей Hella (APS-180),APS-180,228 865,"346 988,39"
Системный блок Neo (Ci9/32GB/1TB/Edge-M),Airba Edge-M,254 055,"347 245,93"
Сетевой видеорегистратор Dahua DHI-NVR5832-4KS2,DHI-NVR5832-4KS2,258 281,"353 824,20"
Ультрабук Asus Zenbook UX533FD (78565U-8-256-GTX1050-2-W) (UX533FD-A8135T),UX533FD-A8135T,136 605,"364 318,54"
Счетчик посетителей Hella APS-90Е,APS-90Е,254 057,"400 698,21"
"Игровой компьютер (Ci9-11900T 1,5GHz/32GB/960GB/Cougar MX410-T)",92274LC,253 367,"417 613,39"
"Модуль 2-port GE WAN NIM, dual-mode RJ45 & SFP (NIM-2GE-CU-SFP)",NIM-2GE-CU-SFP,40 506,"430 414,28"
"10G Base-T Copper transceiver, compatible with CPAC-4-10F-C only",10G Base-T Copper transceiver,255 909,"547 218,75"
Картридж LTO-8 (упаковка 20 штук),Q:MR-L8LQN-BC,218 518,"1 376 571,83"
"C9200-48T-E Коммутатор Catalyst 9200 48-port data only,Network Advantage",C9200-48T-E,270 981,"1 871 895,00"
Сервер для обработки данных и анализа PY RX2530 M5 4x 2.5',S26361-K1659-V301,210 877,"2 073 004,49"
